param N:= 50;

param y:=
1   1.1510    
2   1.7496    
3   1.2117   
4   1.3539    
5   0.8973    
6   1.2236   
7   0.7605    
8   1.0164    
9   0.9082   
10  0.8189    
11  0.3714
12 -0.1434   
13 -0.1412    
14  0.4085   
15 -0.4758    
16  0.0884   
17 -0.2917    
18  0.0921   
19 -0.8796   
20 3   
21 -0.8933   
22 -0.0256 
23 -0.9482   
24 -0.1218   
25 -0.0033    
26  0.1428   
27 -0.5306   
28 -0.0905   
29 -0.0946   
30  0.5893    
31  0.3691    
32  0.9981   
33  0.4172   
34  0.6418    
35  -3    
36  0.7708    
37  1.6123    
38  1.4144    
39  1.4575    
40  1.1051    
41  1.8442    
42  1.6219    
43  1.3371    
44  1.4635
45  1.2948    
46  0.8917    
47  0.9600    
48  0.7317    
49  0.6668    
50  0.5866
;
